"Sign Up","Cadastrar"
"View all items in your shopping cart","Ver todos itens em seu carrinho"
"Special Price:","Preço promocional:"
"My Wishlist","Lista de desejos"
"My Wishlist (%d item)","Lista de desejos (%d)"
"My Wishlist (%d items)","Lista de desejos (%d)"
"My Account","Conta"
"Cart","Carrinho"
"View Cart","Ver Carrinho"
"View All","Ver Todos"
"Compare","Comparar"
"Compare Products","Comparar Produtos"
"Compare all selected items","Comparar todos itens selecionados"
"Currency","Moeda"
"Language","Linguagem"
"Enter your e-mail","Preencha seu e-mail"
"Click to see more products from %s","Clique para ver mais produtos de %s"
"Related Products","Relacionados"
"Zoom","Zoom"
"image {current} of {total}","{current} / {total}"
"New","Novo"
"Sale","Sale"
"Categories","Categorias"
"Menu","Menu"
"Product Description","Descrição"
"Additional Information","Iformação Adicional"
"Product Tags","Tags"
"Email to a Friend","Compartilhar"
"Confirm Email Address","Confirme Email"
